genres1,genres2,genres3
Action,Adventure,Fantasy
Action,Adventure,Thriller
Action,Thriller,
Documentary,,
Action,Adventure,Sci-Fi
Action,Adventure,Romance
Adventure,Animation,Comedy
Adventure,Family,Fantasy
Action,Adventure,
Action,Adventure,Western
Action,Adventure,Family
Action,Adventure,Comedy
Adventure,Fantasy,
Action,Adventure,Drama
Drama,Romance,
Action,Crime,Thriller
Action,Adventure,Horror
Adventure,Animation,Family
Action,Comedy,Crime
Animation,Drama,Family
Action,Crime,Drama
Action,Adventure,Animation
Adventure,Drama,Family
Action,Comedy,Sci-Fi
Comedy,Family,Fantasy
Action,Sci-Fi,
Adventure,Drama,Sci-Fi
Drama,Fantasy,Romance
Adventure,Sci-Fi,
Action,Drama,History
Action,Adventure,Biography
Action,Drama,
Drama,Horror,Sci-Fi
Adventure,Comedy,Family
Animation,Comedy,Family
Mystery,Thriller,
Comedy,Fantasy,Horror
Drama,Fantasy,Horror
Action,Drama,Thriller
Adventure,,
Action,Comedy,Fantasy
Comedy,Crime,
Action,Drama,Mystery
Adventure,Drama,Fantasy
Adventure,Drama,Thriller
Action,Mystery,Thriller
Adventure,Sci-Fi,Thriller
Action,Crime,Mystery
Adventure,Drama,Romance
Action,Fantasy,
Action,Animation,Comedy
Fantasy,,
Action,Adventure,Crime
Action,Adventure,History
Action,,
Action,Fantasy,Thriller
Adventure,Mystery,Sci-Fi
Action,Drama,Sci-Fi
Action,Crime,Sci-Fi
Action,Family,Sport
Comedy,Drama,Romance
Action,Comedy,Romance
Action,Adventure,Mystery
Action,Drama,War
Crime,Thriller,
Biography,Drama,
Action,Drama,Fantasy
Action,Crime,Romance
Biography,Drama,Sport
Action,Mystery,Sci-Fi
Animation,Family,Fantasy
Comedy,,
Comedy,Romance,
Action,Drama,Romance
Biography,Crime,Drama
Action,Comedy,Thriller
Drama,Western,
Action,Romance,Thriller
Action,Fantasy,Horror
Biography,Comedy,Crime
Action,Sci-Fi,War
Drama,Sci-Fi,
Action,Crime,Fantasy
Adventure,Comedy,Sci-Fi
Action,Crime,Sport
Drama,Mystery,Thriller
Crime,Drama,
Drama,History,Romance
Comedy,Sci-Fi,Thriller
Drama,History,War
Drama,Family,Fantasy
Drama,Fantasy,Thriller
Drama,Mystery,Romance
Adventure,Comedy,Drama
Crime,Drama,Thriller
Action,Comedy,
Crime,Drama,Mystery
Adventure,Drama,History
Drama,History,Thriller
Drama,Mystery,Sci-Fi
Action,Horror,Sci-Fi
Crime,Mystery,Thriller
Comedy,Drama,Sci-Fi
Action,Family,Fantasy
Drama,History,Sport
Crime,Drama,Horror
Comedy,Drama,Music
Comedy,Romance,Sci-Fi
Adventure,Comedy,Mystery
Comedy,Drama,Fantasy
Action,Comedy,Family
Crime,Drama,History
Comedy,Drama,
Comedy,Crime,Sport
Comedy,Family,Sci-Fi
Fantasy,Horror,Mystery
Adventure,Comedy,Crime
Drama,Sci-Fi,Thriller
Comedy,Family,Romance
Comedy,Fantasy,
Drama,Horror,Mystery
Action,Sci-Fi,Thriller
Drama,Musical,Romance
Documentary,Drama,
Animation,Family,
Adventure,Animation,Drama
Sci-Fi,Thriller,
Comedy,Drama,Family
Horror,Mystery,Thriller
Comedy,Family,
Biography,Comedy,Drama
Drama,Music,Musical
Comedy,Crime,Music
Comedy,Crime,Drama
Animation,Comedy,Fantasy
Action,Comedy,Sport
Biography,Drama,History
Action,Drama,Sport
Adventure,Drama,War
Fantasy,Mystery,Romance
Drama,Fantasy,Mystery
Drama,Horror,Romance
Drama,War,
Drama,,
Adventure,Biography,Drama
Comedy,Drama,Musical
Action,Sci-Fi,Sport
Biography,Drama,Thriller
Comedy,Fantasy,Romance
Drama,Sport,
Action,Fantasy,Sci-Fi
Crime,Drama,Fantasy
Adventure,Biography,Crime
Action,War,
Comedy,Romance,Sport
Comedy,Sport,
Adventure,Animation,Biography
Drama,Romance,Western
Documentary,Music,
Drama,Thriller,
Adventure,Comedy,
Comedy,Crime,Romance
Horror,Mystery,Sci-Fi
Biography,Drama,Music
Drama,Fantasy,Sport
Horror,Sci-Fi,Thriller
Drama,Horror,Thriller
Action,Comedy,Mystery
Action,Biography,Drama
Comedy,Western,
Drama,Music,Romance
Action,Comedy,Drama
Action,Crime,
Adventure,Drama,Horror
Crime,Drama,Romance
Crime,Horror,Mystery
Action,Horror,Thriller
Drama,History,Horror
Drama,Romance,Sport
Comedy,Family,Musical
Romance,Sci-Fi,Thriller
Mystery,Sci-Fi,Thriller
Horror,Mystery,
Adventure,Horror,Mystery
Drama,Fantasy,
Adventure,Comedy,Fantasy
Action,Biography,Crime
Comedy,Sci-Fi,
Drama,Romance,Sci-Fi
Horror,Thriller,
Crime,Drama,Music
Adventure,Crime,Drama
Comedy,Drama,Thriller
Drama,Romance,War
Crime,Romance,Thriller
Action,Horror,
Drama,Fantasy,Musical
Comedy,Musical,
Comedy,Crime,Thriller
Adventure,Drama,Western
Action,Fantasy,Western
Comedy,War,
Drama,Music,
Action,Drama,Family
Comedy,Drama,Sport
Fantasy,Horror,Romance
Biography,Drama,Romance
Horror,,
Comedy,Music,
Drama,History,
Comedy,Music,Romance
Adventure,Drama,Mystery
Comedy,Crime,Family
Crime,Horror,Thriller
Action,Horror,Mystery
Comedy,Fantasy,Sci-Fi
Adventure,Drama,
Adventure,Comedy,History
Drama,Family,
Biography,Comedy,Romance
Biography,Drama,War
Biography,Drama,Family
Fantasy,Horror,
Comedy,Horror,
Drama,Thriller,War
Action,Western,
Comedy,Family,Sport
Action,Comedy,War
Drama,Family,Sport
Action,Thriller,Western
Drama,Mystery,
Comedy,Crime,Musical
Comedy,Horror,Romance
Comedy,Horror,Musical
Crime,Drama,Sport
Action,Comedy,Horror
Adventure,Horror,Thriller
Adventure,Fantasy,Mystery
Adventure,Animation,Fantasy
Adventure,Animation,Sci-Fi
Drama,Romance,Thriller
Adventure,Biography,
Action,Horror,Romance
Crime,Drama,Sci-Fi
Action,Fantasy,Romance
Comedy,Crime,Mystery
Adventure,Family,
Action,Drama,Music
Comedy,Family,Music
Action,Comedy,Music
Fantasy,Horror,Thriller
Drama,Music,Mystery
Action,Drama,Western
Adventure,Comedy,Horror
Horror,Sci-Fi,
Thriller,,
Comedy,Mystery,
Drama,History,Music
Comedy,History,
Game-Show,Reality-TV,Romance
Action,Comedy,Documentary
Drama,Family,Music
Fantasy,Romance,
Animation,Comedy,Drama
Adventure,Crime,Mystery
Crime,Drama,Western
Crime,Fantasy,Horror
Crime,Documentary,News
Comedy,Musical,Romance
Animation,Drama,Mystery
Comedy,Drama,Mystery
Biography,Comedy,Musical
Romance,Short,
Animation,,
Drama,Horror,
Comedy,Drama,Reality-TV
Adventure,Comedy,Romance
Family,Fantasy,Music
Comedy,Drama,War
Music,,
Action,Animation,Sci-Fi
Drama,Family,Musical
Comedy,Mystery,Sci-Fi
Sci-Fi,,
Drama,Fantasy,War
Comedy,Horror,Sci-Fi
Drama,Family,Romance
Comedy,Horror,Thriller
Adventure,Fantasy,Horror
Crime,Drama,Musical
Family,Music,Romance
Biography,Drama,Fantasy
Biography,,
Adventure,Mystery,Thriller
Comedy,Mystery,Romance
Adventure,Family,Sci-Fi
Animation,Comedy,Crime
Comedy,Drama,Horror
Adventure,Crime,Thriller
Mystery,Romance,Sci-Fi
Fantasy,Mystery,Thriller
Family,Musical,
Drama,Fantasy,Music
Family,Sci-Fi,
Adventure,Comedy,Music
Fantasy,Horror,Sci-Fi
Western,,
Comedy,Romance,Thriller
Adventure,Animation,
Action,Animation,Fantasy
Horror,Musical,Sci-Fi
Drama,War,Western
Animation,Biography,Drama
Adventure,Fantasy,Thriller
Documentary,Sport,
Crime,Horror,
Action,Crime,Horror
Drama,Mystery,War
Mystery,Romance,Thriller
Musical,Romance,
Documentary,Drama,War
Adventure,Documentary,Short
Thriller,War,
Action,Sport,
Musical,,
Mystery,Western,
Comedy,Drama,History
Comedy,Documentary,
Adventure,Horror,
Comedy,Music,Sci-Fi
Crime,Horror,Music
Crime,Documentary,War
Crime,Thriller,War
Comedy,Crime,Horror
Animation,Comedy,
Family,,
Drama,Musical,
Adventure,Comedy,Western
Fantasy,Thriller,
Comedy,Documentary,Drama
Comedy,Horror,Mystery
Drama,Family,History
Adventure,War,Western
Adventure,Comedy,Musical
Action,Animation,Crime
Crime,Documentary,Drama
Biography,Comedy,Documentary
Comedy,Thriller,
Comedy,Documentary,Music
Family,Fantasy,Musical
Drama,Family,Western
Adventure,Family,Sport
Romance,,
Documentary,History,Sport
Action,Drama,Horror
Comedy,Documentary,War
Adventure,Documentary,Drama
Crime,Documentary,
Animation,Biography,Documentary
Documentary,War,
Documentary,History,
Biography,Documentary,History
Horror,Romance,Sci-Fi
Crime,Drama,Film-Noir
Comedy,Fantasy,Musical
Documentary,Drama,History
Biography,Crime,Documentary
Film-Noir,Mystery,Romance
Comedy,Crime,Sci-Fi
Horror,Romance,Thriller
Drama,Film-Noir,Mystery
Drama,Film-Noir,
Crime,Film-Noir,Thriller
Adventure,Comedy,Sport
Biography,Documentary,Music
Comedy,Fantasy,Mystery
Adventure,Biography,Documentary
Drama,Musical,Sci-Fi
Documentary,News,
Comedy,Fantasy,Thriller
Drama,Fantasy,Sci-Fi
Horror,Sci-Fi,Short
Thriller,Western,
Documentary,Drama,Sport
Documentary,History,Music
Biography,Documentary,Drama
Adventure,Family,Romance
Documentary,Family,Music
Biography,Documentary,Sport
History,,
Action,Romance,Sport
Horror,Musical,
Comedy,Mystery,Thriller
Action,Biography,Documentary
Biography,Documentary,
Animation,Drama,
Comedy,Short,
Adventure,Horror,Sci-Fi
Adventure,Documentary,
Documentary,Family,
